Tick,Total Agents,IDS,Malicious,Stealth,Suspicious,Confirmed
0,58,8,7,6,0,2
1,58,8,7,6,3,2
2,58,8,7,6,1,2
3,58,8,7,6,3,3
4,58,8,7,6,1,5
5,58,8,7,6,0,6
6,58,8,7,6,1,6
7,58,8,7,6,1,6
8,58,8,7,6,0,8
9,58,8,7,6,2,8
10,58,8,7,6,4,8
11,58,8,7,6,1,11
12,58,8,7,6,0,12
13,58,8,7,6,0,12
14,58,8,7,6,0,15
15,58,8,7,6,2,16
16,58,8,7,6,1,16
17,58,8,7,6,1,17
18,58,8,7,6,1,16
19,58,8,7,6,5,15
20,58,8,7,6,2,15
21,58,8,7,6,1,16
22,58,8,7,6,5,14
23,58,8,7,6,10,14
24,58,8,7,6,5,14
25,58,8,7,6,2,14
26,58,8,7,6,2,14
27,58,8,7,6,4,13
28,58,8,7,6,2,13
29,58,8,7,6,2,14
30,58,8,7,6,0,15
31,58,8,7,6,0,15
32,58,8,7,6,0,16
33,58,8,7,6,0,17
34,58,8,7,6,0,17
35,58,8,7,6,0,17
36,58,8,7,6,0,20
37,58,8,7,6,0,20
38,58,8,7,6,3,20
39,58,8,7,6,2,18
40,58,8,7,6,0,18
41,58,8,7,6,1,18
42,58,8,7,6,0,18
43,58,8,7,6,0,18
44,58,8,7,6,6,17
45,58,8,7,6,2,16
46,58,8,7,6,0,16
47,58,8,7,6,1,15
48,58,8,7,6,3,14
49,58,8,7,6,3,15
50,58,8,7,6,1,14
51,58,8,7,6,0,15
52,58,8,7,6,3,15
53,58,8,7,6,0,17
54,58,8,7,6,1,17
55,58,8,7,6,4,15
56,58,8,7,6,1,16
57,58,8,7,6,2,15
58,58,8,7,6,9,12
59,58,8,7,6,4,12
60,58,8,7,6,4,12
61,58,8,8,5,5,14
62,58,8,8,5,7,12
63,58,8,8,5,6,13
64,58,8,8,5,4,13
65,58,8,8,5,3,13
66,58,8,8,5,2,14
67,58,8,8,5,2,14
68,58,8,8,5,4,13
69,58,8,8,5,5,15
70,58,8,8,5,5,16
71,58,8,8,5,4,16
72,58,8,8,5,0,16
73,58,8,8,5,0,16
74,58,8,8,5,1,16
75,58,8,8,5,1,16
76,58,8,8,5,1,17
77,58,8,8,5,2,17
78,58,8,8,5,1,17
79,58,8,8,5,3,16
80,58,8,8,5,3,16
81,58,8,8,5,4,15
82,58,8,8,5,4,14
83,58,8,8,5,2,14
84,58,8,8,5,1,13
85,58,8,8,5,2,13
86,58,8,8,5,3,12
87,58,8,8,5,5,12
88,58,8,8,5,5,11
89,58,8,8,5,7,13
90,58,8,8,5,2,14
91,58,8,8,5,3,14
92,58,8,8,5,0,14
93,58,8,8,5,0,14
94,58,8,8,5,4,14
95,58,8,8,5,5,13
96,58,8,8,5,9,11
97,58,8,8,5,7,13
98,58,8,8,5,5,13
99,58,8,8,5,5,13
100,58,8,8,5,6,11
